"index","Data","Hora","PRECIPITACIO TOTAL, HORARIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)","PRESSIO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB)","PRESSIO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB)","RADIACAO GLOBAL (Kj/m)","TEMPERATURA DO AR - BULBO SECO, HORARIA (C)","TEMPERATURA DO PONTO DE ORVALHO (C)","TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C)","TEMPERATURA MINIMA NA HORA ANT. (AUT) (C)","TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C)","TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C)","UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)","UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIRECCIO HORARIA (gr) ( (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)","region","state","station","station_code","latitude","longitude","height"
170017,2021-01-05,01:00:00,0,1003.5,1003.5,1002.6,0,25.7,23.9,25.8,25.6,24,23.8,91,89,90,341,1.6,0.4,25.7,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170023,2021-01-05,07:00:00,0,1002.4,1002.9,1002.4,0,24.9,23.7,25,24.8,23.7,23.5,93,92,93,311,0.8,0.3,24.9,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170029,2021-01-05,13:00:00,0,1005.1,1005.1,1004.8,1591,29.1,23.6,29.4,26.6,24.2,22.6,83,71,72,77,3.3,1.7,28,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170035,2021-01-05,19:00:00,6,1001.2,1001.9,1000.7,587,23.2,22.2,31.9,23,22.8,19.3,95,54,95,65,14.9,3.1,27.45,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170041,2021-01-06,01:00:00,0.2,1003.4,1003.4,1003,0,23.9,21.5,24,23.7,22.8,21.3,93,85,86,77,5.9,1.2,23.85,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170047,2021-01-06,07:00:00,0,1003,1003.3,1003,0,23.6,21.5,23.6,23.4,21.6,21.4,89,87,88,77,2,0.9,23.5,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170053,2021-01-06,13:00:00,0.2,1005.6,1005.6,1005.4,1818,27.6,22,27.8,25.8,23.4,21.8,81,72,72,70,4.5,2.6,26.8,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170059,2021-01-06,19:00:00,0.2,1001.2,1001.9,1001.2,1704,29.5,23.8,32,26.8,24.2,20.9,77,53,71,58,8.7,1.6,29.4,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170065,2021-01-07,01:00:00,0,1003.6,1003.6,1002.6,0,28.5,22.3,28.7,27.9,22.8,22.2,74,69,69,117,2.1,0.7,28.3,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
170071,2021-01-07,07:00:00,0,1003,1003.2,1003,0,24.1,22,24.8,24.1,22,21.8,88,84,88,104,1.5,0.5,24.45,"AM","MANAUS","A101",-3.10361111,-60.01555555,48.79
